MAC,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7
00:F6:63:14:DF:60,-89.89,-93,-91,-100,-100,-100,-100
20:BB:C0:4B:94:01,-41.71,-36.86,-37.45,-40.94,-45.87,-45.65,-45.04
20:BB:C0:4B:9E:C1,-82.48,-87.51,-86.66,-89.16,-91,-100,-100
20:BB:C0:4B:A2:31,-100,-100,-100,-88,-92,-90.25,-83.47
20:BB:C0:4B:E5:C1,-100,-100,-100,-94,-100,-100,-100
50:06:04:5B:3E:21,-100,-100,-100,-100,-92,-100,-86.48
50:06:04:5B:45:B1,-100,-100,-100,-100,-100,-100,-92
50:06:04:5B:45:E1,-100,-100,-100,-92,-90.57,-96,-92.64
50:06:04:66:71:F1,-49.32,-48.17,-41.22,-42.74,-36.23,-38.36,-46.57
50:06:04:66:91:D1,-74.79,-73.72,-65.51,-64.51,-63.29,-71.71,-76.95
A0:93:51:3E:6B:10,-89,-100,-100,-100,-100,-100,-100
CC:16:7E:13:20:80,-100,-100,-100,-100,-100,-100,-87
CC:16:7E:15:F0:D0,-90.47,-100,-100,-93,-100,-100,-100
CC:16:7E:E3:BA:B0,-100,-100,-100,-100,-100,-100,-89